Species,Song ID,Date (MDY),Time,Locality,GPS coordinate N,GPS coordinate W,Elevationv (m),Habitat Type,% Canopy cover,Dominant Species,Tree class Size,Understory code,Est dist from recorder,Background spp,Disturbance in recording?,Natural or Playback?,Banded?,Recorder Initials,Notes
TOWA,SRF25M02,6/25/2017,8:30,"Bluff Lake Rd, Tatla Lake",51 46.069,124 42.359,965,Conifer,50,Lodgepole Pine,2,1,10-15,,,N/PB,Y,LIMM,
TOWA,SRF27M01,6/27/2017,6:20,"Big Bar Lake Rd, Kelly Lake",51 01.392,121 46.377,1136,Conifer,70,Douglas Fir,5,3,5,HAFL,stream,Playback,Y,MJO,buzzy and clear songs both sound odd
TOWA,SRF27M02,6/27/2017,7:10,"Big Bar Lake Rd, Kelly Lake",51 01.950,121 46.775,1157,Conifer,,Hybrid Spruce,4,2,20,,stream,Natural,N,MJO,buzzy song
TOWA,SRF27M03,6/27/2017,7:37,"Big Bar Lake Rd, Kelly Lake",51 02.124,121 47.006,1166,Conifer,80,Hybrid Spruce,4,4,15,,,Playback,Y,LIMM,
TOWA,SRF27M04,6/27/2017,8:40,"Big Bar Lake Rd, Kelly Lake",51 04.141,121 49.7566,1318,Conifer,90,Hybrid Spruce,4,5,15,,traffic,Natural,N,LIMM,clear song
TOWA,SRF27M05,6/27/2017,9:02,"Big Bar Lake Rd, Kelly Lake",51 04.397,121 50.168,1332,Conifer,45,Hybrid Spruce,4,4,5,,stream,N/PB,Y,MJO,
TOWA,SRF27M06,6/27/2017,9:17,"Big Bar Lake Rd, Kelly Lake",51 04.427,121 50.249,1355,Conifer,70,Hybrid Spruce,3,4,15,,stream,Playback,Y,MJO,buzzy song only
TOWA,SRF28M01,6/28/2017,7:40,"Grinder Trailhead Rd, Clinton",51 12.504,121 59.963,1122,Conifer,70,Hybrid Spruce,3,3,5-20,,stream,N/PB,Y,MJO,clear song only
TOWA,SRF28M02,6/28/2017,7:44,"Grinder Trail, Clinton",51 11.990,121 59.972,1154,Conifer,60,Hybrid Spruce,2,2,8,"RCKI, DUFL",,N/PB,N,MJO,"weird song, sounded like a mix of clear and buzzy songs"
TOWA,SRF28M03,6/28/2017,9:05,"Grinder Trail, Clinton",51 11.911,121 39.919,1162,Conifer,70,Hybrid Spruce,3,3,15,"RCKI, SWTH",,Natural,N,LIMM,
TOWA,SRF28M04,6/28/2017,11:00,"Grinder Trailhead Rd, Clinton",51 12.167,121 59.981,1156,Mixed Conifer and Hardwood,70,"Trembling Apsen, Douglas Fir",3,3,8,,stream,Playback,N,MJO,
BTYW,SRF29M01,6/29/2017,5:55,"Owl Creek FSR, Pemberton",50 21.779,122 44.415,478,Conifer,80,Douglas Fir,3,3,25,,creek,Natural,N,MJO,
TOWA,SRF29M02,6/29/2017,6:05,"Owl Creek FSR, Pemberton",50 21.793,122 44.424,489,Conifer,80,Douglas Fir,3,3,5,"PISI, BTYW",creek,Playback,Y,MJO,
TOWA,SRF29M03,6/29/2017,9:35,"Birkenhead FSR, Pemberton",50 27.099,122 41.152,447,Conifer,80,Red Cedar,4,4,13,"WAVI, HAWO","squirrel, traffic",Natural,Y,MJO,
TOWA,SRF29M04,6/29/2017,11:00,"Sea-to-Sky Trail off Birkenhead River Rd, Pemberton",50 27.396,122 41.702,606,Mixed Conifer and Hardwood,80,Douglas Fir,3,4,10,"SWTH, CAVI, RBNU",,Natural,N,LIMM,
TOWA,SRF29M05,6/29/2017,11:15,"Sea-to-Sky Trail off Birkenhead River Rd, Pemberton",50 27.387,122 41.737,590,Mixed Conifer and Hardwood,80,Douglas Fir,3,4,5,AMRE,helicopter,Natural,N,LIMM,SRF29M04 in background. Buzzy song
TOWA,SRF30M01,6/30/2017,7:25,"Shadow Lake Trail, Pemberton",50 13.232,122 53.018,483,Conifer,80,Douglas Fir,3,6,9,"BTYW, WAVI",traffic,N/PB,Y,MJO,
TOWA,SRF30M02,6/30/2017,9:00,"Shadow Lake Trail, Pemberton",50 12.936,122 53.209,481,Conifer,80,Red Cedar,5,2,10,"SWTH, SOSP",traffic,Playback,Y,MJO,
TOWA,SRG01M03,7/1/2017,9:08,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.840,123 08.333,292,Conifer,80,Western Hemlock,4,5,5,"PAWR, AMRO",,N/PB,N,MJO,
TOWA,SRG02M01,7/2/2017,8:12,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.221,123 07.495,228,Conifer,90,Douglas Fir,5,2,5,"PAWR, SWTH, WETA, HAWO",,Natural,N,MJO,
TOWA,SRG02M02,7/2/2017,8:21,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.162,123 07.499,236,Conifer,95,Douglas Fir,5,4,12,"PAWR, SWTH, WETA, HAWO, BRCR",,Natural,N,MJO,
TOWA,SRG02M03,7/2/2017,8:45,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.064,123 07.426,232,Conifer,95,Red Cedar,5,2,5,,,Natural,N,MJO,
TOWA,SRG02M04,7/2/2017,9:43,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.367,123 07.538,252,Conifer,85,Red Cedar,4,3,15-20,,,Natural,N,LIMM,
TOWA,SRG02M05,7/2/2017,9:56,"Four Lakes Trail, Alice Lake Provinical Park, Squamish",49 47.392,123 07.538,238,Conifer,85,Red Cedar,4,3,15-20,,,Natural,N,LIMM,
TOWA,SRG04M01,7/4/2017,8:45,"Bridge Trail, Brohm Lake Interpretive Trail, Squamish",49 48.736,123 07.791,337,Conifer,75,Western Hemlock,3,4,5,DEJU,,Playback,Y,MJO,clear song
TOWA,SRG04M02,7/4/2017,9:00,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.733,123 08.020,305,Conifer,90,Western Hemlock,4,5,5,PAWR,,N/PB,Y,MJO,clear song
TOWA,SRG04M03,7/4/2017,9:20,"High Trail, Brohm Lake Interpretive Forest, Squamish",49 48.844,123 08.049,360,Conifer,80,Douglas Fir,4,4,15,PSFL,,N/PB,Y,MJO,
